Lambda	P0_T	PRej_T	PRej_E	Q_T	Q_E	A_T	A_E	K_T	K_E
2,00	0,3750	0,0625	0,0000	0,9375	1,0000	1,8750	2,0000	0,9375	1,0000
4,00	0,1579	0,2105	0,0000	0,7895	1,0000	3,1579	4,0000	1,5789	2,0000
6,00	0,0769	0,3462	0,1400	0,6538	0,8600	3,9231	5,1600	1,9615	2,5800
8,00	0,0423	0,4507	0,2500	0,5493	0,7500	4,3944	6,0000	2,1972	3,0000
10,00	0,0254	0,5297	0,4000	0,4703	0,6000	4,7034	6,0000	2,3517	3,0000
12,00	0,0164	0,5902	0,4900	0,4098	0,5100	4,9180	6,1200	2,4590	3,0600
14,00	0,0112	0,6375	0,5600	0,3625	0,4400	5,0743	6,1600	2,5372	3,0800
16,00	0,0079	0,6755	0,5800	0,3245	0,4200	5,1926	6,7200	2,5963	3,3600
18,00	0,0058	0,7064	0,6600	0,2936	0,3400	5,2849	6,1200	2,6424	3,0600
20,00	0,0044	0,7321	0,6600	0,2679	0,3400	5,3587	6,8000	2,6794	3,4000
22,00	0,0034	0,7537	0,7000	0,2463	0,3000	5,4190	6,6000	2,7095	3,3000
24,00	0,0027	0,7721	0,7300	0,2279	0,2700	5,4692	6,4800	2,7346	3,2400
26,00	0,0022	0,7880	0,7300	0,2120	0,2700	5,5115	7,0200	2,7557	3,5100
28,00	0,0018	0,8019	0,7300	0,1981	0,2700	5,5476	7,5600	2,7738	3,7800
30,00	0,0014	0,8140	0,7300	0,1860	0,2700	5,5789	8,1000	2,7894	4,0500
